MMP1053	g.575.peg.120
MMP1052	g.575.peg.930
MMP0641	g.575.peg.1120
MMP1253	g.575.peg.242
MMP1252	g.575.peg.887
MMP1251	g.575.peg.525
MMP1250	g.575.peg.678
MMP1257	g.575.peg.747
MMP1256	g.575.peg.333
MMP1255	g.575.peg.451
MMP1254	g.575.peg.180
MMP1259	g.575.peg.849
MMP1258	g.575.peg.200
MMP1495	g.575.peg.785
MMP1494	g.575.peg.647
MMP1497	g.575.peg.1
MMP1496	g.575.peg.137
MMP1491	g.575.peg.942
MMP1490	g.575.peg.98
MMP1493	g.575.peg.520
MMP1492	g.575.peg.596
MMP1499	g.575.peg.353
MMP1498	g.575.peg.145
MMP1671	g.575.peg.489
MMP1670	g.575.peg.536
MMP1673	g.575.peg.867
MMP1672	g.575.peg.14
MMP1675	g.575.peg.113
MMP1674	g.575.peg.282
MMP1677	g.575.peg.487
MMP1676	g.575.peg.610
MMP1679	g.575.peg.831
MMP1678	g.575.peg.791
MMP1079	g.575.peg.82
MMP1078	g.575.peg.979
MMP1073	g.575.peg.194
MMP1072	g.575.peg.93
MMP1071	g.575.peg.720
MMP1070	g.575.peg.602
MMP1077	g.575.peg.646
MMP1076	g.575.peg.502
MMP1075	g.575.peg.385
MMP1074	g.575.peg.354
MMP1107	g.575.peg.568
MMP1106	g.575.peg.503
MMP1105	g.575.peg.967
MMP1104	g.575.peg.821
MMP1103	g.575.peg.42
MMP1102	g.575.peg.134
MMP1101	g.575.peg.462
MMP1100	g.575.peg.664
MMP0995	g.575.peg.1320
MMP1109	g.575.peg.712
MMP1108	g.575.peg.576
MMP0678	g.575.peg.1109
MMP0679	g.575.peg.1002
MMP0672	g.575.peg.1433
MMP0673	g.575.peg.1378
MMP0670	g.575.peg.1624
MMP0671	g.575.peg.1562
MMP0676	g.575.peg.1004
MMP0677	g.575.peg.1247
MMP0674	g.575.peg.1242
MMP0675	g.575.peg.1448
MMP0478	g.575.peg.1528
MMP0479	g.575.peg.1633
MMP0474	g.575.peg.1556
MMP0475	g.575.peg.1097
MMP0476	g.575.peg.990
MMP0477	g.575.peg.1260
MMP0470	g.575.peg.1636
MMP0471	g.575.peg.1611
MMP0472	g.575.peg.1504
MMP0473	g.575.peg.1426
MMP0070	g.575.peg.1389
MMP0071	g.575.peg.1183
MMP0072	g.575.peg.1042
MMP0073	g.575.peg.1265
MMP0074	g.575.peg.1659
MMP0075	g.575.peg.1589
MMP0076	g.575.peg.1360
MMP0077	g.575.peg.1692
MMP0078	g.575.peg.1218
MMP0079	g.575.peg.1509
MMP0218	g.575.peg.962
MMP0219	g.575.peg.514
MMP0210	g.575.peg.318
MMP0211	g.575.peg.734
MMP0212	g.575.peg.182
MMP0213	g.575.peg.779
MMP0214	g.575.peg.420
MMP0215	g.575.peg.4
MMP0216	g.575.peg.615
MMP0217	g.575.peg.278
MMP0504	g.575.peg.1195
MMP0853	g.575.peg.1689
MMP0506	g.575.peg.1030
MMP0507	g.575.peg.1123
MMP0500	g.575.peg.1127
MMP0501	g.575.peg.1654
MMP0854	g.575.peg.1056
MMP0855	g.575.peg.1122
MMP0858	g.575.peg.1534
MMP0859	g.575.peg.1072
MMP0508	g.575.peg.1600
MMP0509	g.575.peg.1331
MMP0694	g.575.peg.1538
MMP0695	g.575.peg.1599
MMP0696	g.575.peg.1103
MMP0697	g.575.peg.1022
MMP0690	g.575.peg.1310
MMP0691	g.575.peg.1510
MMP0692	g.575.peg.1344
MMP0693	g.575.peg.1642
MMP0698	g.575.peg.1267
MMP0699	g.575.peg.1307
MMP1240	g.575.peg.767
MMP1241	g.575.peg.939
MMP1242	g.575.peg.147
MMP1243	g.575.peg.859
MMP1244	g.575.peg.401
MMP1245	g.575.peg.103
MMP1246	g.575.peg.133
MMP1247	g.575.peg.243
MMP1248	g.575.peg.680
MMP1249	g.575.peg.481
MMP1482	g.575.peg.121
MMP1483	g.575.peg.263
MMP1480	g.575.peg.204
MMP1481	g.575.peg.76
MMP1486	g.575.peg.884
MMP1487	g.575.peg.765
MMP1484	g.575.peg.668
MMP1485	g.575.peg.540
MMP1488	g.575.peg.74
MMP1489	g.575.peg.418
MMP0755	g.575.peg.1096
MMP0754	g.575.peg.1304
MMP0757	g.575.peg.1283
MMP0024	g.575.peg.269
MMP0023	g.575.peg.847
MMP0750	g.575.peg.1359
MMP0458	g.575.peg.1089
MMP1668	g.575.peg.394
MMP1669	g.575.peg.277
MMP1666	g.575.peg.355
MMP1667	g.575.peg.191
MMP1664	g.575.peg.127
MMP1665	g.575.peg.964
MMP1662	g.575.peg.812
MMP1663	g.575.peg.904
MMP1660	g.575.peg.537
MMP1661	g.575.peg.685
MMP1068	g.575.peg.229
MMP1069	g.575.peg.845
MMP1060	g.575.peg.251
MMP1061	g.575.peg.864
MMP1062	g.575.peg.459
MMP1063	g.575.peg.212
MMP1064	g.575.peg.210
MMP1065	g.575.peg.101
MMP1066	g.575.peg.498
MMP1067	g.575.peg.863
MMP1114	g.575.peg.190
MMP1115	g.575.peg.294
MMP1116	g.575.peg.833
MMP1117	g.575.peg.966
MMP1110	g.575.peg.645
MMP1111	g.575.peg.771
MMP1112	g.575.peg.453
MMP1113	g.575.peg.573
MMP1118	g.575.peg.456
MMP1119	g.575.peg.322
MMP0449	g.575.peg.1032
MMP0448	g.575.peg.1239
MMP0199	g.575.peg.988
MMP0198	g.575.peg.499
MMP0193	g.575.peg.621
MMP0440	g.575.peg.1449
MMP0191	g.575.peg.460
MMP0442	g.575.peg.1564
MMP0197	g.575.peg.642
MMP0444	g.575.peg.1023
MMP0195	g.575.peg.36
MMP0446	g.575.peg.1057
MMP0049	g.575.peg.1606
MMP0048	g.575.peg.1007
MMP0045	g.575.peg.1086
MMP0044	g.575.peg.1189
MMP0047	g.575.peg.1301
MMP0046	g.575.peg.1413
MMP0041	g.575.peg.1687
MMP0040	g.575.peg.1602
MMP0043	g.575.peg.1678
MMP0042	g.575.peg.1031
MMP0993	g.575.peg.1136
MMP0992	g.575.peg.1582
MMP0227	g.575.peg.225
MMP0990	g.575.peg.1368
MMP0221	g.575.peg.727
MMP0996	g.575.peg.1039
MMP0223	g.575.peg.711
MMP0222	g.575.peg.836
MMP0999	g.575.peg.1106
MMP0998	g.575.peg.1517
MMP0229	g.575.peg.731
MMP0228	g.575.peg.600
MMP0980	g.575.peg.1081
MMP0981	g.575.peg.1190
MMP0982	g.575.peg.1264
MMP0531	g.575.peg.1055
MMP0530	g.575.peg.1402
MMP0533	g.575.peg.1006
MMP0532	g.575.peg.1165
MMP0535	g.575.peg.1212
MMP0534	g.575.peg.1673
MMP0537	g.575.peg.1364
MMP0536	g.575.peg.1157
MMP0539	g.575.peg.1160
MMP0984	g.575.peg.1628
MMP0237	g.575.peg.809
MMP0986	g.575.peg.1060
MMP0987	g.575.peg.1558
MMP0621	g.575.peg.1229
MMP0620	g.575.peg.1514
MMP0331	g.575.peg.544
MMP0330	g.575.peg.896
MMP0625	g.575.peg.1259
MMP0624	g.575.peg.996
MMP0335	g.575.peg.54
MMP0626	g.575.peg.1337
MMP1279	g.575.peg.15
