id	charge	formula	name	aliases
3-oxoadipate-enol-lactone_c0	-1	C6H5O4	3-oxoadipate-enol-lactone_c0	C03586|cpd02255
H_c0	1	H	H_c0	|
CO2_c0	0	CO2	CO2_c0	C00011|cpd00011
4-Carboxymuconolactone_c0	-2	C7H4O6	4-Carboxymuconolactone_c0	C01278|cpd00938
L-Argininosuccinate_c0	-1	C10H17N4O6	L-Argininosuccinate_c0	C03406|cpd02152
Fumarate_c0	-2	C4H2O4	Fumarate_c0	C00122|cpd00106
L-Arginine_c0	1	C6H15N4O2	L-Arginine_c0	C00062|C02385|cpd00051
D-Glucosamine1-phosphate_c0	0	C6H14NO8P	D-Glucosamine1-phosphate_c0	C06156|cpd03671
N-Acetyl-D-glucosamine1-phosphate_c0	-1	C8H15NO9P	N-Acetyl-D-glucosamine1-phosphate_c0	C04501|C04256|cpd02611
CoA_c0	-3	C21H33N7O16P3S	CoA_c0	C00010|cpd00010
Acetyl-CoA_c0	-3	C23H35N7O17P3S	Acetyl-CoA_c0	C00024|cpd00022
trdox_c0	0	C6H7NO2R2S2	trdox_c0	C00343|cpd11420
O-Acetyl-L-homoserine_c0	0	C6H11NO4	O-Acetyl-L-homoserine_c0	C01077|cpd00790
Homocysteine_c0	0	C4H9NO2S	Homocysteine_c0	C05330|C00155|cpd00135
Sulfite_c0	-1	HO3S	Sulfite_c0	C00094|C11481|cpd00081
Acetate_c0	-1	C2H3O2	Acetate_c0	C00033|cpd00029
H2S2O3_c0	-2	S2O3	H2S2O3_c0	C05529|C00320|cpd00268
trdrd_c0	0	C6H9NO2R2S2	trdrd_c0	C00342|cpd11421
L-Methionine_c0	0	C5H11NO2S	L-Methionine_c0	C00073|C01733|cpd00060
H2O_c0	0	H2O	H2O_c0	C00001|C01328|cpd00001
L-Alanine_c0	0	C3H7NO2	L-Alanine_c0	C00041|cpd00035
met-L-ala-L_c0	-1	C8H15N2O3S	met-L-ala-L_c0	|cpd11590
L-Threonine_c0	0	C4H9NO3	L-Threonine_c0	C00188|cpd00161
