cco_keggcompound_id	cco_chebi_id
C01718	28683
C16933	80807
C07726	28779
C17455	81101
C18544	83996
C15717	80047
C08965	8036
C12560	32121
C16142	49044
C16339	80460
C02277	28878
C15315	79817
C06035	1898
C09804	26
C12786	31502
C11492	7441
C18443	81751
C18365	59204
C01897	27656
C18924	82066
C12574	31990
C01278	16993
C14669	34152
C08898	4629
C07648	9555
C10957	83453
C14614	34465
C08005	2569
C03141	50037
C11142	9349
C14838	79404
C14291	34611
C10843	2780
C02809	16959
C13678	34382
C14695	44557
C14142	35097
C17430	81083
C09736	5067
C08948	10439
C17227	80973
C16713	80677
C18429	81740
C01404	2818
C01934	17357
C08891	3863
C18867	82024
C11634	18057
C01328	16234
C16984	66557
C06769	9973
C15817	60562
C10616	24
C01847	16048
C06312	6307
C14648	34473
C07908	8764
C19038	82167
C14364	34233
C15867	62474
C14683	34140
C03962	15411
C16395	19452
C08350	28860
C12398	31145
C10928	2533
C15538	11302
C18367	72449
C07205	44241
C10811	6088
C10433	614
C08855	3329
C18898	82045
C07575	8058
C02143	21405
C07887	6149
C11791	3171
C00566	15459
C09174	8330
C16374	80480
C05406	86001
C00232	16265
C14194	35434
C16349	80466
C18304	81655
C10833	68329
C18551	81826
C10837	9780
C10565	2452
C11563	611
C01540	15782
C17441	70440
C08392	28409
C08608	7623
C05348	28475
C11890	29519
C08747	2522
C19302	32497
C00366	62589
C16880	80776
C14770	34130
C03830	1369
C10416	4310
C06490	10028
C17993	81444
C00534	16410
C02230	46892
C17945	81401
C09801	9928
C02375	27772
C00977	16533
C01047	17394
C03568	848
C15328	79830
C18577	64163
C18081	81486
C16626	80620
C16290	80426
C16719	36
C06761	38352
C14392	42309
C17098	80924
C13431	35306
C08931	2994
C09444	5191
C10370	6555
C16531	74106
C19159	33388
C18117	81519
C00976	21161
C05349	100241
C15464	79961
C10261	5726
C00116	17754
C14664	34509
C00332	15345
C05979	28831
C12304	31328
C09721	9054
C13677	34381
C05155	17881
C07075	32888
C18682	81889
C13632	36028
C10250	3629
C17446	66150
C07184	9919
C10885	9149
C11125	9339
C10649	3203
C18742	75704
C00674	15994
C09709	8196
C18351	81697
C04024	16631
C02581	8480
C00397	28864
C09853	507
C01470	15335
C00959	27624
C19216	82307
C05715	28474
C15059	79579
C10483	8043
C08462	9539
C00488	16397
C04594	19135
C18826	81987
C12329	46816
C01023	38291
C15719	80049
C01118	16160
C01788	16049
C00844	27761
C09473	5635
