reaction_id	probability	complex_diagnostic	complex_details	putative_GPR
rxn05687	0.31285425918711	HASCOMPLEXES	///kb|cpx.835 (0.3129; CPLX_FULL) 	fig|267377.1.peg.850
rxn05681	0	HASCOMPLEXES	///kb|cpx.1522 (0.0000; CPLX_NOTTHERE) 	
rxn05680	0	HASCOMPLEXES	///kb|cpx.826 (0.0000; CPLX_NOTTHERE) 	
rxn05683	0	HASCOMPLEXES	///kb|cpx.367 (0.0000; CPLX_NOTTHERE) 	
rxn05682	0.203102876208714	HASCOMPLEXES	///kb|cpx.1507 (0.2031; CPLX_FULL) ///kb|cpx.1813 (0.0000; CPLX_NOTTHERE) 	fig|267377.1.peg.789
rxn24093	0	HASCOMPLEXES	///kb|cpx.51110 (0.0000; CPLX_NOREPS) ///kb|cpx.50720 (0.0000; CPLX_NOREPS) 	
rxn05335	0	HASCOMPLEXES	///kb|cpx.93 (0.0000; CPLX_NOTTHERE) ///kb|cpx.50679 (0.0000; CPLX_NOTTHERE) ///kb|cpx.94 (0.0000; CPLX_NOTTHERE) 	
rxn05334	0	HASCOMPLEXES	///kb|cpx.93 (0.0000; CPLX_NOTTHERE) ///kb|cpx.94 (0.0000; CPLX_NOTTHERE) 	
rxn05337	0	HASCOMPLEXES	///kb|cpx.147 (0.0000; CPLX_NOTTHERE) 	
rxn05336	0	HASCOMPLEXES	///kb|cpx.147 (0.0000; CPLX_NOTTHERE) 	
rxn05331	0	HASCOMPLEXES	///kb|cpx.93 (0.0000; CPLX_NOTTHERE) ///kb|cpx.50679 (0.0000; CPLX_NOTTHERE) ///kb|cpx.94 (0.0000; CPLX_NOTTHERE) 	
rxn05330	0	HASCOMPLEXES	///kb|cpx.93 (0.0000; CPLX_NOTTHERE) ///kb|cpx.50679 (0.0000; CPLX_NOTTHERE) ///kb|cpx.94 (0.0000; CPLX_NOTTHERE) 	
rxn05333	0	HASCOMPLEXES	///kb|cpx.93 (0.0000; CPLX_NOTTHERE) ///kb|cpx.94 (0.0000; CPLX_NOTTHERE) 	
rxn05332	0	HASCOMPLEXES	///kb|cpx.93 (0.0000; CPLX_NOTTHERE) ///kb|cpx.94 (0.0000; CPLX_NOTTHERE) 	
rxn05339	0	HASCOMPLEXES	///kb|cpx.147 (0.0000; CPLX_NOTTHERE) 	
rxn05338	0	HASCOMPLEXES	///kb|cpx.147 (0.0000; CPLX_NOTTHERE) 	
rxn00205	0	HASCOMPLEXES	///kb|cpx.1315 (0.0000; CPLX_NOTTHERE) 	
