cpd00001	H2O
cpd00002	C10H16N5O13P3
cpd00003	C21H28N7O14P2
cpd00004	C21H29N7O14P2
cpd00005	C21H30N7O17P3
cpd00006	C21H29N7O17P3
cpd00007	O2
cpd00008	C10H15N5O10P2
cpd00009	H3PO4
cpd00010	C21H36N7O16P3S
cpd00011	CO2
cpd11608	C2H4NO2R
cpd00012	P2H4O7
cpd00013	NH3
cpd00014	C9H14N2O12P2
cpd00015	C27H33N9O15P2
cpd11463	C2H4NO2R
cpd00016	C8H10NO6P
cpd00017	C15H22N6O5S
cpd00018	C10H14N5O7P
cpd00019	C14H20N6O5S
cpd00020	C3H4O3
cpd00021	Fe
cpd00022	C23H38N7O17P3S
cpd00023	C5H9NO4
cpd00024	C5H6O5
cpd00025	H2O2
cpd11609	None
cpd00026	C15H24N2O17P2
cpd11610	None
cpd00027	C6H12O6
cpd00028	C34H32FeN4O4
cpd00029	C2H4O2
cpd00030	Mn
cpd00031	C10H15N5O11P2
cpd00032	C4H4O5
cpd00033	C2H5NO2
cpd00034	Zn
cpd11611	C22H35N7O17P3SR
cpd00035	C3H7NO2
cpd00036	C4H6O4
cpd00037	C17H27N3O17P2
cpd00038	C10H16N5O14P3
cpd00039	C6H14N2O2
cpd00040	C2H2O3
cpd00041	C4H7NO4
cpd00042	C10H17N3O6S
cpd00043	C15H24N2O17P2
cpd00044	C10H15N5O13P2S
cpd00045	C10H15N5O10P2
cpd00046	C9H14N3O8P
cpd00047	CH2O2
cpd00048	SO4
cpd00049	CO2R
cpd00050	C17H21N4O9P
cpd00051	C6H14N4O2
cpd00052	C9H16N3O14P3
cpd00053	C5H10N2O3
cpd00054	C3H7NO3
cpd11615	C10H17O10PR2
cpd00055	CH2O
cpd00056	C12H19N4O7P2S
cpd00057	HOR
cpd00058	Cu
cpd11616	CHOR
cpd00059	C6H8O6
cpd00060	C5H11NO2S
cpd00061	C3H5O6P
cpd00062	C9H15N2O15P3
cpd00063	Ca
cpd00064	C5H12N2O2
cpd00065	C11H12N2O2
cpd00066	C9H11NO2
cpd00067	H
cpd00068	C10H15N4O14P3
cpd00069	C9H11NO3
cpd00070	C24H38N7O19P3S
cpd00071	C2H4O
