Gene	Rxns
MMP1002	rxn01682[c0];rxn01964[c0];rxn00474[c0]
MMP1003	rxn01682[c0];rxn01964[c0];rxn00474[c0]
MMP1004	rxn02508[c0]
MMP1005	rxn00726[c0];rxn00727[c0];rxn01257[c0]
MMP1006	rxn00726[c0];rxn00727[c0]
MMP1007	rxn00791[c0]
MMP1008	rxn02507[c0]
MMP1009	rxn01465[c0]
MMP1011	rxn13782[c0];rxn06937[c0]
MMP1013	rxn00414[c0]
MMP1016	rxn01117[c0]
MMP1017	rxn00337[c0]
MMP1026	rxn13782[c0]
MMP0103	rxn05144[c0]
MMP1034	rxn01513[c0]
MMP1053	HdrABC;Hdr_formate
MMP1054	HdrABC;Hdr_formate
MMP1060	rxn13782[c0]
MMP1063	rxn00902[c0]
MMP1064	rxn00065[c0]
MMP1067	rxn00288[c0];Tfr
MMP1071	rxn00100[c0]
MMP1072	rxn00260[c0];rxn01270[c0];rxn02339[c0];rxn03086[c0];MfnC
MMP1075	rxn01519[c0]
MMP1076	rxn03638[c0];rxn00293[c0];rxn01675[c0]
MMP1077	rxn01485[c0];rxn01329[c0]
MMP1082	rxn03135[c0];UMNAat
MMP1083	rxn03135[c0];UMNAat
MMP1090	rxn00295[c0];rxn00214[c0];rxn01997[c0]
MMP1091	rxn00213[c0]
MMP1093	rxn02175[c0]
MMP1094	rxn00147[c0]
MMP1095	rxn05145[c0]
MMP1096	rxn05145[c0]
MMP1097	rxn05145[c0]
MMP1098	rxn05145[c0]
MMP0110	rxn05177[c0];rxn05195[c0]
MMP1101	rxn01637[c0]
MMP1104	rxn01018[c0]
MMP1105	rxn00285[c0]
MMP1108	rxn05616[c0];rxn10474[c0]
MMP1113	rxn01200[c0];rxn00785[c0]
MMP1114	rxn01116[c0]
MMP1115	rxn01200[c0];rxn00785[c0]
MMP0112	rxn01106[c0]
MMP1120	rxn00065[c0]
MMP1124	rxn00438[c0]
MMP1138	rxn03075[c0]
MMP1139	rxn02305[c0]
MMP1146	rxn00790[c0]
MMP1149	rxn02789[c0];rxn02811[c0];rxn02749[c0]
MMP0115	rxn11650[c0]
MMP1150	rxn02288[c0]
MMP1154	HdrABC;Hdr_formate
MMP1155	HdrABC;Hdr_formate
MMP0116	rxn02465[c0]
MMP1165	rxn10481[c0]
MMP1170	rxn03919[c0]
MMP1171	rxn10230[c0];rxn09208[c0];rxn09207[c0];rxn09210[c0];rxn10229[c0];rxn09206[c0];rxn10227[c0];rxn10226[c0];rxn09205[c0];rxn10228[c0];rxn09211[c0];rxn09209[c0];rxn10231[c0];ARCSs
MMP1187	rxn01620[c0];rxn05104[c0]
MMP1189	rxn00777[c0]
MMP1191	rxn02480[c0]
MMP0012	rxn06078[c0];rxn00952[c0];rxn05957[c0]
MMP1200	rxn00313[c0]
MMP1203	rxn07587[c0]
MMP1204	rxn12636[c0];rxn12644[c0];rxn12637[c0];rxn12844[c0];rxn12640[c0];rxn12645[c0];rxn12845[c0];rxn12641[c0];rxn12633[c0];rxn00650[c0];rxn12646[c0];rxn12846[c0];rxn12642[c0];rxn12634[c0];rxn12639[c0];rxn12847[c0];rxn12638[c0];rxn12643[c0];rxn12635[c0]
MMP1205	rxn02476[c0]
MMP1206	rxn00187[c0];rxn03409[c0];rxn03407[c0];rxn03406[c0]
MMP1211	rxn01454[c0];rxn05388[c0];rxn05359[c0];rxn08766[c0];rxn05396[c0];rxn05379[c0];rxn05371[c0];rxn05384[c0];rxn05400[c0];rxn05404[c0];rxn05392[c0];rxn05367[c0];rxn05375[c0];rxn05363[c0]
MMP1212	rxn00178[c0]
MMP1215	rxn03540[c0]
MMP1216	rxn00260[c0];rxn02320[c0];rxn02339[c0]
MMP1220	rxn05740[c0]
MMP1221	rxn07589[c0];rxn03491[c0]
MMP1224	rxn05155[c0]
MMP1227	rxn03491[c0];rxn07588[c0]
MMP0123	rxn04783[c0]
MMP1238	rxn08180[c0]
MMP1242	rxn02988[c0]
MMP1247	rxn11938[c0]
MMP1248	rxn11938[c0]
MMP1249	rxn11938[c0]
MMP1254	rxn02937[c0]
MMP1255	rxn13782[c0]
MMP1258	rxn00029[c0]
MMP1260	rxn05171[c0];rxn05172[c0]
MMP1277	rxn00288[c0];Tfr
MMP1282	rxn00100[c0]
MMP1286	rxn13783[c0]
MMP1288	rxn03393[c0]
MMP1293	rxn08618[c0]
MMP1295	rxn00558[c0];rxn02380[c0];rxn01977[c0]
MMP1299	rxn00102[c0]
MMP0013	rxn00802[c0]
MMP0130	rxn00245[c0];rxn00799[c0]
MMP1301	rxn05559[c0]
MMP1308	rxn01333[c0]
MMP1310	rxn00832[c0]
MMP1315	rxn05939[c0]
