Rxn_ID	Rxn_Name	GPR	Subsystem	Formula	Readable_Formula
biomass0	GramNegativeBiomass auto biomass		Exchange	0.2467 cpd00051[c0] + 0.0030965 cpd00010[c0] + 0.1278 cpd00060[c0] + 168.4155 cpd00001[c0] + 0.42793 cpd00035[c0] + 0.21107 cpd00161[c0] + 0.0030965 cpd00006[c0] + 0.0030965 cpd00254[c0] + 0.0030965 cpd00003[c0] + 0.0030965 cpd00220[c0] + 168.4155 cpd00002[c0] + 0.20083 cpd00041[c0] + 0.50987 cpd00033[c0] + 0.28544 cpd00039[c0] + 0.17946 cpd00054[c0] + 0.0030965 cpd00557[c0] + 0.0030965 cpd10515[c0] + 0.084104 cpd00052[c0] + 0.13541 cpd00038[c0] + 0.0030965 cpd00118[c0] + 0.0030965 cpd00264[c0] + 0.21909 cpd00023[c0] + 0.21909 cpd00053[c0] + 0.021439 cpd00115[c0] + 0.076146 cpd00084[c0] + 0.021439 cpd00357[c0] + 0.37539 cpd00107[c0] + 0.0030965 cpd00205[c0] + 0.0030965 cpd00017[c0] + cpd17041[c0] + 0.090832 cpd00062[c0] + 0.12068 cpd00069[c0] + cpd17042[c0] + 0.0030965 cpd00149[c0] + 0.20083 cpd00132[c0] + 0.0030965 cpd00895[c0] + 0.0030965 cpd02246[c0] + 0.0030965 cpd00015[c0] + 0.047202 cpd00065[c0] + 0.010608 cpd00356[c0] + 0.0030965 cpd00016[c0] + 0.18435 cpd00129[c0] + 0.0030965 cpd00056[c0] + 0.0030965 cpd02817[c0] + 0.0030965 cpd00643[c0] + cpd17043[c0] + 0.0030965 cpd00649[c0] + 0.2418 cpd00322[c0] + 0.15452 cpd00066[c0] + 0.010608 cpd00241[c0] + 0.079264 cpd00119[c0] + 0.0030965 cpd00099[c0] + 0.35223 cpd00156[c0] + 0.0030965 cpd10516[c0] + 0.0030965 cpd00042[c0] + 0.0030965 cpd00063[c0] + 0.0030965 cpd00166[c0] + 0.0030965 cpd11493[c0] + 0.0030965 cpd03425[c0] + 0.0030965 cpd15868[c0] + 0.0030965 cpd00131[c0] + 0.0030965 ARCN[e0] + 0.0030965 cpd16579[c0] + 0.0030965 SATARCHL[c0] + 0.0030965 SATARCHLS[c0]  -> 168.4155 cpd00067[c0] + 168.4155 cpd00009[c0] + 168.4155 cpd00008[c0] + 0.48461 cpd00012[c0] + 0.0030965 cpd01997[c0] + 0.0030965 cpd12370[c0] + cpd11416[c0] + 0.0030965 cpd03422[c0] 	0.2467 L-Arginine[c0] + 0.0030965 CoA[c0] + 0.1278 L-Methionine[c0] + 168.4155 H2O[c0] + 0.42793 L-Alanine[c0] + 0.21107 L-Threonine[c0] + 0.0030965 NADP[c0] + 0.0030965 Mg[c0] + 0.0030965 NAD[c0] + 0.0030965 Riboflavin[c0] + 168.4155 ATP[c0] + 0.20083 L-Aspartate[c0] + 0.50987 Glycine[c0] + 0.28544 L-Lysine[c0] + 0.17946 L-Serine[c0] + 0.0030965 Siroheme[c0] + 0.0030965 Fe2[c0] + 0.084104 CTP[c0] + 0.13541 GTP[c0] + 0.0030965 Putrescine[c0] + 0.0030965 Spermidine[c0] + 0.21909 L-Glutamate[c0] + 0.21909 L-Glutamine[c0] + 0.021439 dATP[c0] + 0.076146 L-Cysteine[c0] + 0.021439 TTP[c0] + 0.37539 L-Leucine[c0] + 0.0030965 K[c0] + 0.0030965 S-Adenosyl-L-methionine[c0] + Protein_biosynthesis[c0] + 0.090832 UTP[c0] + 0.12068 L-Tyrosine[c0] + DNA_replication[c0] + 0.0030965 Co2[c0] + 0.20083 L-Asparagine[c0] + 0.0030965 H4MPT[c0] + 0.0030965 CoM[c0] + 0.0030965 FAD[c0] + 0.047202 L-Tryptophan[c0] + 0.010608 dCTP[c0] + 0.0030965 Pyridoxal_phosphate[c0] + 0.18435 L-Proline[c0] + 0.0030965 TPP[c0] + 0.0030965 HTP[c0] + 0.0030965 Methanofuran[c0] + RNA_transcription[c0] + 0.0030965 Coenzyme_F420[c0] + 0.2418 L-Isoleucine[c0] + 0.15452 L-Phenylalanine[c0] + 0.010608 dGTP[c0] + 0.079264 L-Histidine[c0] + 0.0030965 Cl-[c0] + 0.35223 L-Valine[c0] + 0.0030965 fe3[c0] + 0.0030965 GSH[c0] + 0.0030965 Ca2[c0] + 0.0030965 Calomide[c0] + 0.0030965 ACP[c0] + 0.0030965 Factor_430[c0] + 0.0030965 Coenzyme_F420-3[c0] + 0.0030965 Molybdenum[c0] + 0.0030965 Archaellin[e0] + 0.0030965 Selenoprotein[c0] + 0.0030965 Saturated_CDP-archaeol[c0] + 0.0030965 Saturated_Archaetidylserine[c0]  -> 168.4155 H[c0] + 168.4155 Phosphate[c0] + 168.4155 ADP[c0] + 0.48461 PPi[c0] + 0.0030965 Dimethylbenzimidazole[c0] + 0.0030965 apo-ACP[c0] + Biomass[c0] + 0.0030965 Cobinamide[c0] 	
rxn02483[c0]	4-Carboxymuconolactone carboxy-lyase c0	(MMP0807 or MMP0486)	Protocatechuate branch of beta-ketoadipate pathway	cpd00067[c0] + cpd00938[c0]  -> cpd02255[c0] + cpd00011[c0] 	H[c0] + 4-Carboxymuconolactone[c0]  -> 3-oxoadipate-enol-lactone[c0] + CO2[c0] 	
rxn00802[c0]	N-L-Argininosuccinate arginie-lyase c0	MMP0013	Arginine Biosynthesis	cpd02152[c0]  <=> cpd00106[c0] + cpd00051[c0] 	L-Argininosuccinate[c0]  <=> Fumarate[c0] + L-Arginine[c0] 	
rxn03638[c0]	Acetyl-CoA D-glucosamine-1-phosphate N-acetyltransferase c0	(MMP1076 and MMP1076)	Peptidoglycan Biosynthesis	cpd03671[c0] + cpd00022[c0]  -> cpd00067[c0] + cpd02611[c0] + cpd00010[c0] 	D-Glucosamine1-phosphate[c0] + Acetyl-CoA[c0]  -> H[c0] + N-Acetyl-D-glucosamine1-phosphate[c0] + CoA[c0] 	
rxn06078[c0]	O-Acetyl-L-homoserine acetate-lyase adding methanethiol c0	MMP0012	Methionine Biosynthesis	cpd00790[c0] + cpd00268[c0] + cpd11421[c0]  -> cpd11420[c0] + cpd00135[c0] + cpd00081[c0] + cpd00029[c0] 	O-Acetyl-L-homoserine[c0] + H2S2O3[c0] + trdrd[c0]  -> trdox[c0] + Homocysteine[c0] + Sulfite[c0] + Acetate[c0] 	
rxn12636[c0]	aminopeptidase c0	(MMP1204 or MMP1444)	Protein Degradation	cpd00067[c0] + cpd00001[c0] + cpd11590[c0]  <=> cpd00060[c0] + cpd00035[c0] 	H[c0] + H2O[c0] + met-L-ala-L[c0]  <=> L-Methionine[c0] + L-Alanine[c0] 	
rxn12644[c0]	aminopeptidase c0	(MMP1204 or MMP1444)	Protein Degradation	cpd00001[c0] + cpd11582[c0]  <=> cpd00035[c0] + cpd00161[c0] 	H2O[c0] + ala-L-Thr-L[c0]  <=> L-Alanine[c0] + L-Threonine[c0] 	
rxn03492[c0]	precorrin-6Y NADP oxidoreductase c0	MMP0599	Coenzyme B12 Biosynthesis	cpd00006[c0] + cpd03760[c0]  <=> cpd00067[c0] + cpd03761[c0] + cpd00005[c0] 	NADP[c0] + Precorrin_6B[c0]  <=> H[c0] + Precorrin_6A[c0] + NADPH[c0] 	
rxn05616[c0]	magnesium transport in/out via permease no H c0	(MMP0711 or MMP1108)	Transport	cpd00254[c0]  <=> cpd00254[e0] 	Mg[c0]  <=> Mg[e0] 	
rxn02212[c0]	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate phosphate-lyase c0	MMP0006	Chorismate Synthesis	cpd02857[c0]  -> cpd00067[c0] + cpd00699[c0] + cpd00009[c0] 	DAHP[c0]  -> H[c0] + 5-Dehydroquinate[c0] + Phosphate[c0] 	
