compounds	concentrations	minflux	maxflux
cpd00009	0.01	-1000	1000
cpd00011	0.01	-1000	1000
cpd00013	0.01	-1000	1000
cpd00029	0.01	-1000	1000
cpd00030	0.01	-1000	1000
cpd00034	0.01	-1000	1000
cpd00035	0.01	0	0
cpd00047	0.01	0	0
cpd00053	0.01	0	0
cpd00058	0.01	-1000	1000
cpd00063	0.01	-1000	1000
cpd00067	0.01	-1000	0
cpd00073	0.01	-1000	0
cpd00092	0.01	-1000	0
cpd00099	0.01	-1000	1000
cpd00111	0.01	-1000	0
cpd00117	0.01	0	0
cpd00129	0.01	-1000	0
cpd00131	0.01	-1000	1000
cpd00149	0.01	-1000	1000
cpd00204	0.01	-1000	0
cpd00205	0.01	-1000	1000
cpd00209	0.01	-1000	0
cpd00210	0.01	-1000	0
cpd00226	0.01	-1000	0
cpd00239	0.01	-1000	1000
cpd00244	0.01	-1000	1000
cpd00254	0.01	-1000	1000
cpd00305	0.01	-1000	1000
cpd00307	0.01	-1000	0
cpd00355	0.01	-1000	1000
cpd00430	0.01	-1000	0
cpd00489	0.01	-1000	0
cpd00528	0.01	-1000	0
cpd00540	0.01	-1000	0
cpd00558	0.01	-1000	0
cpd00655	0.01	-1000	0
cpd00703	0.01	-1000	0
cpd00971	0.01	-1000	0
cpd01024	0.01	-50	-50
cpd01080	0.01	-1000	0
cpd01741	0.01	-1000	0
cpd03396	0.01	-1000	1000
cpd03422	0.01	-1000	0
cpd03847	0.01	-1000	0
cpd10515	0.01	-1000	1000
cpd10516	0.01	-1000	1000
cpd11416	0.01	-1000	0
cpd11640	0.01	0	1000
cpd15269	0.01	-1000	1000
cpd15302	0.01	-1000	0
cpd15573	0.01	-1000	1000
cpd17041	0.01	-1000	0
cpd17042	0.01	-1000	0
cpd17043	0.01	-1000	0
