id	name	direction	gpr	pathway	enzyme	equation	reference
biomass0	GramNegativeBiomass auto biomass	>		Exchange		0.2467 cpd00051[c0] + 0.0030965 cpd00010[c0] + 0.1278 cpd00060[c0] + 168.4155 cpd00001[c0] + 0.42793 cpd00035[c0] + 0.21107 cpd00161[c0] + 0.0030965 cpd00006[c0] + 0.0030965 cpd00254[c0] + 0.0030965 cpd00003[c0] + 0.0030965 cpd00220[c0] + 168.4155 cpd00002[c0] + 0.20083 cpd00041[c0] + 0.50987 cpd00033[c0] + 0.28544 cpd00039[c0] + 0.17946 cpd00054[c0] + 0.0030965 cpd00557[c0] + 0.0030965 cpd10515[c0] + 0.084104 cpd00052[c0] + 0.13541 cpd00038[c0] + 0.0030965 cpd00118[c0] + 0.0030965 cpd00264[c0] + 0.21909 cpd00023[c0] + 0.21909 cpd00053[c0] + 0.021439 cpd00115[c0] + 0.076146 cpd00084[c0] + 0.021439 cpd00357[c0] + 0.37539 cpd00107[c0] + 0.0030965 cpd00205[c0] + 0.0030965 cpd00017[c0] + cpd17041[c0] + 0.090832 cpd00062[c0] + 0.12068 cpd00069[c0] + cpd17042[c0] + 0.0030965 cpd00149[c0] + 0.20083 cpd00132[c0] + 0.0030965 cpd00895[c0] + 0.0030965 cpd02246[c0] + 0.0030965 cpd00015[c0] + 0.047202 cpd00065[c0] + 0.010608 cpd00356[c0] + 0.0030965 cpd00016[c0] + 0.18435 cpd00129[c0] + 0.0030965 cpd00056[c0] + 0.0030965 cpd02817[c0] + 0.0030965 cpd00643[c0] + cpd17043[c0] + 0.0030965 cpd00649[c0] + 0.2418 cpd00322[c0] + 0.15452 cpd00066[c0] + 0.010608 cpd00241[c0] + 0.079264 cpd00119[c0] + 0.0030965 cpd00099[c0] + 0.35223 cpd00156[c0] + 0.0030965 cpd10516[c0] + 0.0030965 cpd00042[c0] + 0.0030965 cpd00063[c0] + 0.0030965 cpd00166[c0] + 0.0030965 cpd11493[c0] + 0.0030965 cpd03425[c0] + 0.0030965 cpd15868[c0] + 0.0030965 cpd00131[c0] + 0.0030965 cpd16579[c0] + 0.0030965 SATARCHL[c0] + 0.0030965 SATARCHLS[c0]  -> 168.4155 cpd00067[c0] + 168.4155 cpd00009[c0] + 168.4155 cpd00008[c0] + 0.48461 cpd00012[c0] + 0.0030965 cpd01997[c0] + 0.0030965 cpd12370[c0] + cpd11416[c0] + 0.0030965 cpd03422[c0] 	 
rxn02483[c0]	4-Carboxymuconolactone carboxy-lyase c0	>	(kb|g.575.peg.807 or kb|g.575.peg.486)	Protocatechuate branch of beta-ketoadipate pathway	|4.1.1.44|	cpd00067[c0] + cpd00938[c0]  -> cpd02255[c0] + cpd00011[c0] 	 
rxn00802[c0]	N-L-Argininosuccinate arginie-lyase c0	=	kb|g.575.peg.13	Arginine Biosynthesis	4.3.2.1	cpd02152[c0]  <=> cpd00106[c0] + cpd00051[c0] 	 
rxn03638[c0]	Acetyl-CoA D-glucosamine-1-phosphate N-acetyltransferase c0	>	(kb|g.575.peg.1076 and kb|g.575.peg.1076)	Peptidoglycan Biosynthesis	2.3.1.157|2.3.1.4	cpd03671[c0] + cpd00022[c0]  -> cpd00067[c0] + cpd02611[c0] + cpd00010[c0] 	 
rxn06078[c0]	O-Acetyl-L-homoserine acetate-lyase adding methanethiol c0	>	kb|g.575.peg.12	Methionine Biosynthesis	|2.5.1.49|	cpd00790[c0] + cpd00268[c0] + cpd11421[c0]  -> cpd11420[c0] + cpd00135[c0] + cpd00081[c0] + cpd00029[c0] 	 
rxn12636[c0]	aminopeptidase c0	=	(kb|g.575.peg.1204 or kb|g.575.peg.1444)	Protein Degradation		cpd00067[c0] + cpd00001[c0] + cpd11590[c0]  <=> cpd00060[c0] + cpd00035[c0] 	 
rxn12644[c0]	aminopeptidase c0	=	(kb|g.575.peg.1204 or kb|g.575.peg.1444)	Protein Degradation		cpd00001[c0] + cpd11582[c0]  <=> cpd00035[c0] + cpd00161[c0] 	 
rxn03492[c0]	precorrin-6Y NADP oxidoreductase c0	=	kb|g.575.peg.599	Coenzyme B12 Biosynthesis	|1.3.1.54|	cpd00006[c0] + cpd03760[c0]  <=> cpd00067[c0] + cpd03761[c0] + cpd00005[c0] 	 
rxn05616[c0]	magnesium transport in/out via permease no H c0	=	(kb|g.575.peg.711 or kb|g.575.peg.1108)	Transport	|TC-1.A.35|1.A.35|	cpd00254[c0]  <=> cpd00254[e0] 	 
rxn02212[c0]	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate phosphate-lyase c0	>	kb|g.575.peg.6	Chorismate Synthesis	|4.2.3.4|4.6.1.3|	cpd02857[c0]  -> cpd00067[c0] + cpd00699[c0] + cpd00009[c0] 	 
rxn03419[c0]	Formamidopyrimidine nucleoside triphosphate 7 8-8 9-dihydrolase c0	=	kb|g.575.peg.34	Folate Biosynthesis	|3.5.4.16|	cpd00001[c0] + cpd03518[c0]  <=> cpd00067[c0] + cpd03519[c0] + cpd00047[c0] 	 
