id	name	aliases	charge	formula
cpd02255[c0]	3-oxoadipate-enol-lactone[c0]	KEGG:C03586	-1	C6H5O4
cpd00067[c0]	H[c0]	KEGG:	1	H
cpd00011[c0]	CO2[c0]	KEGG:C00011	0	CO2
cpd00938[c0]	4-Carboxymuconolactone[c0]	KEGG:C01278	-2	C7H4O6
cpd02152[c0]	L-Argininosuccinate[c0]	KEGG:C03406	-1	C10H17N4O6
cpd00106[c0]	Fumarate[c0]	KEGG:C00122	-2	C4H2O4
cpd00051[c0]	L-Arginine[c0]	KEGG:C00062|C02385	1	C6H15N4O2
cpd03671[c0]	D-Glucosamine1-phosphate[c0]	KEGG:C06156	0	C6H14NO8P
cpd02611[c0]	N-Acetyl-D-glucosamine1-phosphate[c0]	KEGG:C04501|C04256	-1	C8H15NO9P
cpd00010[c0]	CoA[c0]	KEGG:C00010	-3	C21H33N7O16P3S
cpd00022[c0]	Acetyl-CoA[c0]	KEGG:C00024	-3	C23H35N7O17P3S
cpd11420[c0]	trdox[c0]	KEGG:C00343	0	C6H7NO2R2S2
cpd00790[c0]	O-Acetyl-L-homoserine[c0]	KEGG:C01077	0	C6H11NO4
cpd00135[c0]	Homocysteine[c0]	KEGG:C05330|C00155	0	C4H9NO2S
cpd00081[c0]	Sulfite[c0]	KEGG:C00094|C11481	-1	HO3S
cpd00029[c0]	Acetate[c0]	KEGG:C00033	-1	C2H3O2
cpd00268[c0]	H2S2O3[c0]	KEGG:C05529|C00320	-2	S2O3
cpd11421[c0]	trdrd[c0]	KEGG:C00342	0	C6H9NO2R2S2
cpd00060[c0]	L-Methionine[c0]	KEGG:C00073|C01733	0	C5H11NO2S
cpd00001[c0]	H2O[c0]	KEGG:C00001|C01328	0	H2O
cpd00035[c0]	L-Alanine[c0]	KEGG:C00041	0	C3H7NO2
cpd11590[c0]	met-L-ala-L[c0]	KEGG:	-1	C8H15N2O3S
cpd00161[c0]	L-Threonine[c0]	KEGG:C00188	0	C4H9NO3
cpd11582[c0]	ala-L-Thr-L[c0]	KEGG:	0	C7H14N2O4
cpd03761[c0]	Precorrin_6A[c0]	KEGG:	-7	C44H47N4O16
cpd00006[c0]	NADP[c0]	KEGG:C00006	-2	C21H26N7O17P3
cpd03760[c0]	Precorrin_6B[c0]	KEGG:	-7	C44H49N4O16
cpd00005[c0]	NADPH[c0]	KEGG:C00005	-3	C21H27N7O17P3
cpd00254[e0]	Mg[e0]	KEGG:C00305	2	Mg
cpd00254[c0]	Mg[c0]	KEGG:C00305	2	Mg
cpd00036[c0]	Succinate[c0]	KEGG:C00042	-2	C4H4O4
cpd02857[c0]	DAHP[c0]	KEGG:C04691	-2	C7H11O10P
cpd00699[c0]	5-Dehydroquinate[c0]	KEGG:C00944	-1	C7H9O6
cpd00009[c0]	Phosphate[c0]	KEGG:C00009	-2	HO4P
cpd03519[c0]	2_5-Diaminopyrimidine_nucleoside_triphosphate[c0]	KEGG:	-3	C9H15N5O14P3
cpd03518[c0]	Formamidopyrimidine_nucleoside_triphosphate[c0]	KEGG:	-3	C10H15N5O15P3
cpd00047[c0]	Formate[c0]	KEGG:C00058	-1	CHO2
cpd02555[c0]	Tetrahydropteroyltri-L-glutamate[c0]	KEGG:C04144	-4	C29H33N9O12
cpd02738[c0]	5-Methyltetrahydropteroyltri-L-glutamate[c0]	KEGG:C04489	-4	C30H35N9O12
cpd00130[c0]	L-Malate[c0]	KEGG:C00711|C00149	-2	C4H4O5
cpd00032[c0]	Oxaloacetate[c0]	KEGG:C00036	-2	C4H2O5
cpd00004[c0]	NADH[c0]	KEGG:C00004	-2	C21H27N7O14P2
cpd00003[c0]	NAD[c0]	KEGG:C00003	-1	C21H26N7O14P2
cpd00346[c0]	L-Aspartate4-semialdehyde[c0]	KEGG:C00441	0	C4H7NO3
