id	name	aliases	charge	formula
3-oxoadipate-enol-lactone_c0	3-oxoadipate-enol-lactone_c0	KEGG:C03586;SEED:cpd02255	-1	C6H5O4
H_c0	H_c0	KEGG:;SEED:cpd00067	1	H
CO2_c0	CO2_c0	KEGG:C00011;SEED:cpd00011	0	CO2
4-Carboxymuconolactone_c0	4-Carboxymuconolactone_c0	KEGG:C01278;SEED:cpd00938	-2	C7H4O6
L-Argininosuccinate_c0	L-Argininosuccinate_c0	KEGG:C03406;SEED:cpd02152	-1	C10H17N4O6
Fumarate_c0	Fumarate_c0	KEGG:C00122;SEED:cpd00106	-2	C4H2O4
L-Arginine_c0	L-Arginine_c0	KEGG:C00062|C02385;SEED:cpd00051	1	C6H15N4O2
D-Glucosamine1-phosphate_c0	D-Glucosamine1-phosphate_c0	KEGG:C06156;SEED:cpd03671	0	C6H14NO8P
N-Acetyl-D-glucosamine1-phosphate_c0	N-Acetyl-D-glucosamine1-phosphate_c0	KEGG:C04501|C04256;SEED:cpd02611	-1	C8H15NO9P
CoA_c0	CoA_c0	KEGG:C00010;SEED:cpd00010	-3	C21H33N7O16P3S
Acetyl-CoA_c0	Acetyl-CoA_c0	KEGG:C00024;SEED:cpd00022	-3	C23H35N7O17P3S
trdox_c0	trdox_c0	KEGG:C00343;SEED:cpd11420	0	C6H7NO2R2S2
O-Acetyl-L-homoserine_c0	O-Acetyl-L-homoserine_c0	KEGG:C01077;SEED:cpd00790	0	C6H11NO4
Homocysteine_c0	Homocysteine_c0	KEGG:C05330|C00155;SEED:cpd00135	0	C4H9NO2S
Sulfite_c0	Sulfite_c0	KEGG:C00094|C11481;SEED:cpd00081	-1	HO3S
Acetate_c0	Acetate_c0	KEGG:C00033;SEED:cpd00029	-1	C2H3O2
H2S2O3_c0	H2S2O3_c0	KEGG:C05529|C00320;SEED:cpd00268	-2	S2O3
trdrd_c0	trdrd_c0	KEGG:C00342;SEED:cpd11421	0	C6H9NO2R2S2
L-Methionine_c0	L-Methionine_c0	KEGG:C00073|C01733;SEED:cpd00060	0	C5H11NO2S
H2O_c0	H2O_c0	KEGG:C00001|C01328;SEED:cpd00001	0	H2O
L-Alanine_c0	L-Alanine_c0	KEGG:C00041;SEED:cpd00035	0	C3H7NO2
met-L-ala-L_c0	met-L-ala-L_c0	KEGG:;SEED:cpd11590	-1	C8H15N2O3S
L-Threonine_c0	L-Threonine_c0	KEGG:C00188;SEED:cpd00161	0	C4H9NO3
ala-L-Thr-L_c0	ala-L-Thr-L_c0	KEGG:;SEED:cpd11582	0	C7H14N2O4
Precorrin_6A_c0	Precorrin_6A_c0	KEGG:;SEED:cpd03761	-7	C44H47N4O16
NADP_c0	NADP_c0	KEGG:C00006;SEED:cpd00006	-2	C21H26N7O17P3
Precorrin_6B_c0	Precorrin_6B_c0	KEGG:;SEED:cod03760	-7	C44H49N4O16
NADPH_c0	NADPH_c0	KEGG:C00005;SEED:cpd00005	-3	C21H27N7O17P3
Mg_e0	Mg_e0	KEGG:C00305;SEED:cpd00254	2	Mg
Mg_c0	Mg_c0	KEGG:C00305;SEED:cpd00254	2	Mg
Succinate_c0	Succinate_c0	KEGG:C00042;SEED:cpd00036	-2	C4H4O4
