rxn02483_c0	(mmp0807 or mmp0486)
rxn00802_c0	mmp0013
rxn03638_c0	(mmp1076 and mmp1076)
rxn06078_c0	mmp0012
rxn12636_c0	(mmp1204 or mmp1444)
rxn12644_c0	(mmp1204 or mmp1444)
rxn03492_c0	mmp0599
rxn05616_c0	(mmp0711 or mmp1108)
rxn08527_c0	((mmp1277 and mmp1067) or mmp1277)
rxn02212_c0	mmp0006
rxn03419_c0	mmp0034
rxn03052_c0	mmp0401
rxn00248_c0	mmp0645
rxn01302_c0	mmp1702
rxn00048_c0	mmp0180
rxn05229_c0	(Unknown and mmp0282)
rxn12637_c0	(mmp1204 or mmp1444)
rxn00321_c0	mmp0861
rxn07586_c0	mmp1591
rxn00902_c0	mmp1063
rxn00952_c0	mmp0012
rxn10230_c0	mmp1171
rxn02056_c0	mmp0089
rxn00459_c0	mmp0396
rxn10225_c0	mmp1698
rxn08311_c0	mmp1698
rxn01101_c0	(mmp1588 or mmp0870)
rxn00302_c0	mmp0034
rxn05145_c0	(mmp1098 and (mmp0345 or mmp1095) and mmp1097 and mmp1096)
rxn02988_c0	mmp1242
rxn07307_c0	mmp0273
rxn02937_c0	mmp1254 or mmp0882
rxn00558_c0	mmp1295
rxn01406_c0	mmp1584
rxn00187_c0	mmp1206
rxn01200_c0	(mmp1113 or mmp1115)
rxn05232_c0	mmp0227
rxn00835_c0	mmp0418
rxn12844_c0	(mmp1204 or mmp1444)
rxn01678_c0	mmp0283
rxn09208_c0	mmp1171
rxn10060_c0	mmp1489
rxn00100_c0	(mmp1071 or mmp1282)
rxn01018_c0	(mmp1104 or mmp1659)
rxn00806_c0	mmp0132
rxn02834_c0	(mmp0280 and mmp0051)
rxn02341_c0	((mmp0204 or mmp1606) and (mmp0204 or mmp1606))
rxn03175_c0	mmp0417
rxn00786_c0	mmp0293
rxn01637_c0	mmp1101
rxn12640_c0	(mmp1204 or mmp1444)
rxn05596_c0	(mmp1430 or mmp1599)
rxn02569_c0	mmp1723
rxn00710_c0	mmp0602
rxn02775_c0	mmp0319
rxn07589_c0	mmp1221
rxn00717_c0	mmp0869
rxn10308_c0	mmp1423
rxn05249_c0	mmp0566
rxn02897_c0	mmp0338
rxn03409_c0	mmp1206
rxn01301_c0	mmp1702
rxn07191_c0	mmp0945
rxn04046_c0	mmp0319
