rxn02483_c0	(267377.1.peg.807 or 267377.1.peg.486)
rxn00802_c0	267377.1.peg.13
rxn03638_c0	(267377.1.peg.1076 and 267377.1.peg.1076)
rxn06078_c0	267377.1.peg.12
rxn12636_c0	(267377.1.peg.1204 or 267377.1.peg.1444)
rxn12644_c0	(267377.1.peg.1204 or 267377.1.peg.1444)
rxn03492_c0	267377.1.peg.599
rxn05616_c0	(267377.1.peg.711 or 267377.1.peg.1108)
rxn08527_c0	((267377.1.peg.1277 and 267377.1.peg.1067) or 267377.1.peg.1277)
rxn02212_c0	267377.1.peg.6
rxn03419_c0	267377.1.peg.34
rxn03052_c0	267377.1.peg.401
rxn00248_c0	267377.1.peg.645
rxn01302_c0	267377.1.peg.1702
rxn00048_c0	267377.1.peg.180
rxn05229_c0	(267377.1.peg.282)
rxn12637_c0	(267377.1.peg.1204 or 267377.1.peg.1444)
rxn00321_c0	267377.1.peg.861
rxn07586_c0	267377.1.peg.1591
rxn00902_c0	267377.1.peg.1063
rxn00952_c0	267377.1.peg.12
rxn10230_c0	267377.1.peg.1171
rxn02056_c0	267377.1.peg.89
rxn00459_c0	267377.1.peg.396
rxn10225_c0	267377.1.peg.1698
rxn08311_c0	267377.1.peg.1698
rxn01101_c0	(267377.1.peg.1588 or 267377.1.peg.870)
rxn00302_c0	267377.1.peg.34
rxn05145_c0	(267377.1.peg.1098 and (267377.1.peg.345 or 267377.1.peg.1095) and 267377.1.peg.1097 and 267377.1.peg.1096)
rxn02988_c0	267377.1.peg.1242
rxn07307_c0	267377.1.peg.273
rxn02937_c0	267377.1.peg.1254
rxn00558_c0	267377.1.peg.1295
rxn01406_c0	267377.1.peg.1584
rxn00187_c0	267377.1.peg.1206
rxn01200_c0	(267377.1.peg.1113 or 267377.1.peg.1115)
rxn05232_c0	267377.1.peg.227
rxn00835_c0	267377.1.peg.418
rxn12844_c0	(267377.1.peg.1204 or 267377.1.peg.1444)
rxn01678_c0	267377.1.peg.283
rxn09208_c0	267377.1.peg.1171
rxn10060_c0	267377.1.peg.1489
rxn00100_c0	(267377.1.peg.1071 or 267377.1.peg.1282)
rxn01018_c0	(267377.1.peg.1104 or 267377.1.peg.1659)
rxn00806_c0	267377.1.peg.132
rxn02834_c0	(267377.1.peg.280 and 267377.1.peg.51)
rxn02341_c0	((267377.1.peg.204 or 267377.1.peg.1606) and (267377.1.peg.204 or 267377.1.peg.1606))
rxn03175_c0	267377.1.peg.417
rxn00786_c0	267377.1.peg.293
rxn01637_c0	267377.1.peg.1101
rxn12640_c0	(267377.1.peg.1204 or 267377.1.peg.1444)
rxn05596_c0	(267377.1.peg.1430 or 267377.1.peg.1599)
rxn02569_c0	267377.1.peg.1723
rxn00710_c0	267377.1.peg.602
rxn02775_c0	267377.1.peg.319
rxn07589_c0	267377.1.peg.1221
rxn00717_c0	267377.1.peg.869
rxn10308_c0	267377.1.peg.1423
rxn05249_c0	267377.1.peg.566
rxn02897_c0	267377.1.peg.338
rxn03409_c0	267377.1.peg.1206
rxn01301_c0	267377.1.peg.1702
rxn07191_c0	267377.1.peg.945
rxn04046_c0	267377.1.peg.319
rxn13782_c0	(267377.1.peg.1060 and 267377.1.peg.326 and 267377.1.peg.946 and 267377.1.peg.575 and 267377.1.peg.397 and 267377.1.peg.1592 and 267377.1.peg.1255 and 267377.1.peg.1011 and 267377.1.peg.1026 and 267377.1.peg.1474 and 267377.1.peg.697 and 267377.1.peg.1510 and 267377.1.peg.263 and 267377.1.peg.1614 and 267377.1.peg.584 and 267377.1.peg.1496 and 267377.1.peg.414 and 267377.1.peg.1616)
rxn03407_c0	267377.1.peg.1206
rxn01682_c0	(267377.1.peg.1002 and 267377.1.peg.1003)
rxn02474_c0	267377.1.peg.1348
rxn05117_c0	267377.1.peg.737
rxn10311_c0	267377.1.peg.1423
rxn01486_c0	267377.1.peg.45
rxn00898_c0	267377.1.peg.318
rxn01069_c0	267377.1.peg.135
rxn02113_c0	267377.1.peg.613
rxn00117_c0	267377.1.peg.283
rxn00555_c0	267377.1.peg.1680
rxn00260_c0	(267377.1.peg.1396 or 267377.1.peg.1216 or 267377.1.peg.1072)
rxn02484_c0	267377.1.peg.1639
rxn00527_c0	(267377.1.peg.1072 or (267377.1.peg.1216 and 267377.1.peg.1527))
rxn05171_c0	267377.1.peg.1260
rxn04052_c0	267377.1.peg.330
rxn13783_c0	((267377.1.peg.402 or 267377.1.peg.1397) and 267377.1.peg.1516 and 267377.1.peg.594 and 267377.1.peg.956 and 267377.1.peg.1286 and 267377.1.peg.970)
rxn04045_c0	267377.1.peg.164
rxn01974_c0	267377.1.peg.917
rxn12645_c0	(267377.1.peg.1204 or 267377.1.peg.1444)
rxn00299_c0	267377.1.peg.34
rxn00839_c0	267377.1.peg.283
rxn03020_c0	(267377.1.peg.1565 or (267377.1.peg.1564 or 267377.1.peg.1565) or 267377.1.peg.1567 or 267377.1.peg.1563 or 267377.1.peg.1562 or 267377.1.peg.1566 or 267377.1.peg.1560 or 267377.1.peg.1561)
rxn00283_c0	267377.1.peg.1512
rxn01022_c0	267377.1.peg.185
rxn10221_c0	267377.1.peg.1698
rxn09177_c0	(267377.1.peg.204 or 267377.1.peg.1606)
rxn03437_c0	267377.1.peg.318
rxn02320_c0	(267377.1.peg.1216 and 267377.1.peg.1527)
rxn10126_c0	(267377.1.peg.1277 and 267377.1.peg.1067)
rxn07587_c0	267377.1.peg.1203
rxn02507_c0	267377.1.peg.1008
rxn03901_c0	267377.1.peg.1144
rxn00669_c0	(267377.1.peg.148)
rxn01333_c0	267377.1.peg.1308
rxn00714_c0	267377.1.peg.331
rxn05119_c0	267377.1.peg.737
rxn01434_c0	267377.1.peg.73
rxn01116_c0	267377.1.peg.1114
rxn08308_c0	267377.1.peg.1698
rxn00409_c0	267377.1.peg.283
rxn02213_c0	267377.1.peg.1394
rxn04308_c0	267377.1.peg.1345
rxn03062_c0	267377.1.peg.539
rxn03446_c0	267377.1.peg.135
rxn01519_c0	267377.1.peg.1075
rxn00029_c0	267377.1.peg.1258
rxn03491_c0	(267377.1.peg.1227 or 267377.1.peg.1221)
rxn01964_c0	(267377.1.peg.1002 and 267377.1.peg.1003)
